iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
1,0.005765345,0.008658906,0.012061542,0.014979809,0.01763105,0.020164301,0.021802154
2,0.005765949,0.008659844,0.012062782,0.014981256,0.017632638,0.020166011,0.021803918
3,0.005766552,0.008660782,0.012064022,0.014982703,0.017634226,0.020167722,0.021805681
4,0.005767156,0.00866172,0.012065261,0.014984151,0.017635815,0.020169433,0.021807445
5,0.00576776,0.008662659,0.012066501,0.014985598,0.017637404,0.020171143,0.021809209
6,0.005768364,0.008663597,0.012067741,0.014987045,0.017638992,0.020172854,0.021810973
7,0.005768969,0.008664536,0.012068982,0.014988493,0.017640581,0.020174565,0.021812737
8,0.005769573,0.008665474,0.012070222,0.01498994,0.01764217,0.020176276,0.0218145
9,0.005770177,0.008666413,0.012071462,0.014991388,0.017643759,0.020177987,0.021816264
10,0.005770781,0.008667351,0.012072702,0.014992835,0.017645347,0.020179698,0.021818028
11,0.005771385,0.00866829,0.012073942,0.014994283,0.017646936,0.020181408,0.021819792
12,0.005771989,0.008669228,0.012075182,0.01499573,0.017648525,0.020183119,0.021821556
13,0.005772594,0.008670167,0.012076422,0.014997178,0.017650114,0.02018483,0.02182332
14,0.005773198,0.008671106,0.012077663,0.014998625,0.017651703,0.020186541,0.021825084
15,0.005773803,0.008672045,0.012078903,0.015000073,0.017653292,0.020188253,0.021826848
16,0.005774407,0.008672984,0.012080144,0.015001521,0.017654881,0.020189964,0.021828612
17,0.005775012,0.008673922,0.012081384,0.015002969,0.01765647,0.020191675,0.021830376
18,0.005775616,0.008674861,0.012082625,0.015004417,0.017658059,0.020193386,0.02183214
19,0.005776221,0.0086758,0.012083865,0.015005864,0.017659648,0.020195097,0.021833904
20,0.005776825,0.008676739,0.012085106,0.015007312,0.017661237,0.020196808,0.021835668
21,0.00577743,0.008677678,0.012086347,0.01500876,0.017662827,0.020198519,0.021837432
22,0.005778034,0.008678618,0.012087587,0.015010208,0.017664416,0.02020023,0.021839196
23,0.005778639,0.008679557,0.012088828,0.015011656,0.017666005,0.020201942,0.021840961
24,0.005779244,0.008680496,0.012090069,0.015013105,0.017667595,0.020203653,0.021842725
25,0.005779849,0.008681436,0.01209131,0.015014553,0.017669184,0.020205365,0.02184449
26,0.005780453,0.008682375,0.012092551,0.015016001,0.017670773,0.020207076,0.021846254
27,0.005781058,0.008683314,0.012093792,0.015017449,0.017672363,0.020208787,0.021848018
28,0.005781663,0.008684254,0.012095033,0.015018897,0.017673952,0.020210499,0.021849782
29,0.005782268,0.008685193,0.012096274,0.015020345,0.017675541,0.02021221,0.021851546
30,0.005782873,0.008686133,0.012097514,0.015021793,0.01767713,0.020213921,0.021853311
31,0.005783478,0.008687072,0.012098755,0.015023241,0.01767872,0.020215633,0.021855075
32,0.005784083,0.008688012,0.012099996,0.015024689,0.01768031,0.020217344,0.021856839
33,0.005784688,0.008688951,0.012101237,0.015026138,0.017681899,0.020219056,0.021858604
34,0.005785294,0.008689891,0.012102479,0.015027586,0.017683489,0.020220767,0.021860368
35,0.005785899,0.008690831,0.01210372,0.015029034,0.017685078,0.020222479,0.021862133
36,0.005786504,0.008691771,0.012104961,0.015030483,0.017686668,0.02022419,0.021863897
37,0.00578711,0.00869271,0.012106202,0.015031931,0.017688258,0.020225902,0.021865661
38,0.005787715,0.00869365,0.012107443,0.015033379,0.017689847,0.020227613,0.021867426
39,0.00578832,0.00869459,0.012108684,0.015034828,0.017691437,0.020229324,0.02186919
40,0.005788925,0.00869553,0.012109925,0.015036276,0.017693026,0.020231036,0.021870954
41,0.00578953,0.008696469,0.012111166,0.015037724,0.017694615,0.020232747,0.021872718
42,0.005790136,0.008697409,0.012112407,0.015039172,0.017696205,0.020234458,0.021874482
43,0.005790741,0.008698349,0.012113648,0.015040621,0.017697794,0.020236169,0.021876246
44,0.005791346,0.008699288,0.012114889,0.015042069,0.017699383,0.02023788,0.02187801
45,0.005791951,0.008700228,0.01211613,0.015043517,0.017700973,0.020239591,0.021879774
46,0.005792557,0.008701168,0.012117371,0.015044965,0.017702562,0.020241303,0.021881538
47,0.005793162,0.008702107,0.012118612,0.015046413,0.017704151,0.020243014,0.021883302
48,0.005793767,0.008703047,0.012119853,0.015047862,0.017705741,0.020244725,0.021885066
49,0.005794372,0.008703987,0.012121095,0.01504931,0.01770733,0.020246436,0.02188683
50,0.005794978,0.008704927,0.012122336,0.015050758,0.01770892,0.020248147,0.021888594
51,0.005795583,0.008705867,0.012123577,0.015052206,0.017710509,0.020249859,0.021890358
52,0.005796188,0.008706807,0.012124818,0.015053655,0.017712098,0.02025157,0.021892122
53,0.005796793,0.008707746,0.012126059,0.015055103,0.017713688,0.020253281,0.021893886
54,0.005797399,0.008708686,0.012127301,0.015056551,0.017715277,0.020254992,0.02189565
55,0.005798004,0.008709626,0.012128542,0.015057999,0.017716866,0.020256703,0.021897414
56,0.005798609,0.008710566,0.012129783,0.015059448,0.017718456,0.020258414,0.021899178
57,0.005799214,0.008711506,0.012131025,0.015060896,0.017720045,0.020260125,0.021900942
58,0.00579982,0.008712446,0.012132266,0.015062344,0.017721635,0.020261837,0.021902706
59,0.005800425,0.008713386,0.012133507,0.015063793,0.017723224,0.020263548,0.02190447
60,0.005801031,0.008714327,0.012134749,0.015065241,0.017724814,0.020265259,0.021906233
61,0.005801636,0.008715267,0.01213599,0.015066689,0.017726403,0.02026697,0.021907997
62,0.005802241,0.008716207,0.012137232,0.015068138,0.017727993,0.020268681,0.021909761
63,0.005802847,0.008717147,0.012138473,0.015069586,0.017729582,0.020270393,0.021911525
64,0.005803452,0.008718087,0.012139715,0.015071035,0.017731172,0.020272104,0.021913289
65,0.005804058,0.008719028,0.012140956,0.015072484,0.017732762,0.020273815,0.021915054
66,0.005804664,0.008719968,0.012142198,0.015073932,0.017734351,0.020275527,0.021916818
67,0.005805269,0.008720908,0.01214344,0.015075381,0.017735941,0.020277238,0.021918582
68,0.005805875,0.008721849,0.012144681,0.01507683,0.017737531,0.02027895,0.021920346
69,0.005806481,0.00872279,0.012145923,0.015078279,0.017739121,0.020280661,0.02192211
70,0.005807087,0.00872373,0.012147165,0.015079728,0.017740711,0.020282372,0.021923874
71,0.005807693,0.008724671,0.012148407,0.015081177,0.017742301,0.020284084,0.021925639
72,0.005808299,0.008725612,0.012149649,0.015082626,0.017743891,0.020285796,0.021927403
73,0.005808905,0.008726552,0.012150891,0.015084075,0.017745481,0.020287507,0.021929167
74,0.005809511,0.008727493,0.012152133,0.015085524,0.017747071,0.020289219,0.021930932
75,0.005810118,0.008728434,0.012153375,0.015086973,0.017748661,0.020290931,0.021932696
76,0.005810724,0.008729375,0.012154618,0.015088423,0.017750251,0.020292642,0.021934461
77,0.00581133,0.008730316,0.01215586,0.015089872,0.017751841,0.020294354,0.021936225
78,0.005811936,0.008731257,0.012157102,0.015091321,0.017753431,0.020296066,0.021937989
