iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
1,0.103384091,0.082975494,0.063459384,0.050642719,0.03959624,0.029986899,0.024558432
2,0.103384243,0.082975031,0.063458557,0.050641768,0.039595388,0.029986153,0.024557802
3,0.103385014,0.082974741,0.063457626,0.050640816,0.039594536,0.029985407,0.024557172
4,0.103386139,0.082974845,0.063456971,0.050640084,0.039593873,0.029984661,0.024556542
5,0.103386336,0.082974086,0.063456048,0.050639132,0.039593021,0.029983915,0.024555912
6,0.10338666,0.08297343,0.063455116,0.05063818,0.039592169,0.029983169,0.024555282
7,0.103388526,0.08297315,0.063454455,0.050637396,0.039591317,0.029982423,0.024554653
8,0.103389153,0.082972845,0.063453702,0.050636444,0.039590465,0.029981677,0.024554023
9,0.103389711,0.082972246,0.063452902,0.050635567,0.039589613,0.029980931,0.024553393
10,0.103390264,0.08297185,0.063452128,0.050634616,0.039588761,0.029980185,0.024552763
11,0.103390518,0.082971256,0.063451205,0.050633664,0.03958791,0.029979439,0.024552134
12,0.103391284,0.082970829,0.063450451,0.050632712,0.039587058,0.029978693,0.024551504
13,0.103391613,0.082970147,0.063449554,0.05063176,0.039586206,0.029977948,0.024550874
14,0.103392689,0.082969557,0.063448622,0.050630953,0.039585354,0.029977202,0.024550245
15,0.103393083,0.082968816,0.063447698,0.050630001,0.039584502,0.029976456,0.024549615
16,0.103393583,0.082968271,0.063446807,0.050629049,0.03958365,0.02997571,0.024548986
17,0.103394108,0.082967851,0.06344596,0.050628098,0.039582798,0.029974965,0.024548356
18,0.103394611,0.082967408,0.063445179,0.050627221,0.039581947,0.029974219,0.024547727
19,0.103394808,0.082966798,0.063444281,0.05062627,0.039581095,0.029973473,0.024547097
20,0.103395789,0.082966601,0.063443622,0.050625318,0.039580243,0.029972728,0.024546468
21,0.103396026,0.082966043,0.063442799,0.050624366,0.039579391,0.029971982,0.024545838
22,0.103396787,0.082965445,0.063441908,0.050623414,0.03957854,0.029971237,0.024545209
23,0.103398439,0.082965401,0.063441081,0.050622462,0.039577688,0.029970491,0.02454458
24,0.103398557,0.082964839,0.06344015,0.050621587,0.039576837,0.029969746,0.02454395
25,0.103399008,0.08296446,0.063439218,0.05062078,0.039575985,0.029969001,0.024543321
26,0.103399226,0.082963845,0.063438294,0.050619828,0.039575133,0.029968255,0.024542692
27,0.103399645,0.082963305,0.06343743,0.050618877,0.039574282,0.02996751,0.024542063
28,0.103400057,0.082962716,0.063436538,0.050617925,0.039573431,0.029966765,0.024541433
29,0.103400829,0.082962376,0.063435641,0.050616973,0.039572579,0.02996602,0.024540804
30,0.103401833,0.082962309,0.063435022,0.050616204,0.039571728,0.029965275,0.024540175
31,0.103401674,0.082961721,0.063434258,0.050615329,0.039570876,0.029964529,0.024539546
32,0.103401663,0.082961138,0.063433366,0.050614453,0.039570025,0.029963784,0.024538917
33,0.103402189,0.082960568,0.063432435,0.050613502,0.039569174,0.029963039,0.024538288
34,0.103402157,0.082960064,0.063431696,0.05061255,0.039568322,0.029962294,0.024537659
35,0.103402557,0.082959556,0.063430915,0.050611599,0.039567471,0.029961549,0.02453703
36,0.103402961,0.082959202,0.063430169,0.050610647,0.03956662,0.029960804,0.024536401
37,0.103403253,0.082958581,0.063429238,0.050609772,0.039565769,0.029960059,0.024535773
38,0.103403581,0.082958093,0.063428448,0.050608902,0.039564918,0.029959315,0.024535144
39,0.103404769,0.082957896,0.063427709,0.050608128,0.039564066,0.02995857,0.024534515
40,0.103405452,0.082957598,0.063426909,0.050607177,0.039563215,0.029957825,0.024533886
41,0.103405526,0.082956989,0.063425977,0.050606226,0.039562365,0.02995708,0.024533258
42,0.10340646,0.082956609,0.06342521,0.050605274,0.039561514,0.029956336,0.024532629
43,0.10340714,0.082956345,0.063424461,0.050604405,0.039560663,0.029955591,0.024532001
44,0.103407271,0.082955637,0.063423607,0.050603454,0.039559812,0.029954847,0.024531372
45,0.103407711,0.082955117,0.063422753,0.050602503,0.039558961,0.029954102,0.024530744
46,0.103408065,0.08295464,0.063421927,0.050601552,0.03955811,0.029953358,0.024530115
47,0.103408351,0.082954057,0.063421003,0.050600601,0.03955726,0.029952613,0.024529487
48,0.103408712,0.082953584,0.063420196,0.050599731,0.039556409,0.029951869,0.024528858
49,0.103409542,0.08295346,0.063419538,0.050598983,0.039555558,0.029951125,0.02452823
50,0.103410389,0.082953049,0.063418647,0.050598108,0.039554707,0.02995038,0.024527602
51,0.103410762,0.082952427,0.06341775,0.050597157,0.039553857,0.029949636,0.024526973
52,0.103411717,0.082952185,0.063416978,0.050596283,0.039553006,0.029948892,0.024526345
53,0.103412745,0.08295194,0.063416356,0.050595332,0.039552156,0.029948148,0.024525717
54,0.103413005,0.082951596,0.063415676,0.050594381,0.039551305,0.029947404,0.024525089
55,0.103414594,0.082951642,0.063414967,0.05059343,0.039550455,0.02994666,0.024524461
56,0.103416034,0.082951495,0.063414334,0.050592561,0.039549604,0.029945916,0.024523833
57,0.103416674,0.082950867,0.063413403,0.050591611,0.039548754,0.029945172,0.024523205
58,0.103417136,0.08295049,0.063412639,0.050590781,0.039547903,0.029944428,0.024522577
59,0.103418067,0.082950181,0.063411861,0.050589831,0.039547053,0.029943684,0.024521949
60,0.103418302,0.082949802,0.063411071,0.05058888,0.039546203,0.02994294,0.024521321
61,0.10341864,0.082949069,0.063410147,0.050587929,0.039545352,0.029942196,0.024520693
62,0.103419152,0.082948618,0.063409283,0.050586979,0.039544502,0.029941452,0.024520065
63,0.103419635,0.082948235,0.063408669,0.050586028,0.039543652,0.029940709,0.024519437
64,0.103420278,0.082947851,0.063407876,0.050585159,0.039542802,0.029939965,0.024518809
65,0.103420896,0.082947354,0.063407045,0.050584345,0.039541952,0.029939221,0.024518182
66,0.103421375,0.082946767,0.063406261,0.050583395,0.039541102,0.029938478,0.024517554
67,0.103421346,0.082946225,0.06340533,0.050582444,0.039540251,0.029937734,0.024516926
68,0.103421493,0.082945653,0.063404556,0.050581575,0.039539401,0.02993699,0.024516299
69,0.10342197,0.082945209,0.063403665,0.050580625,0.039538551,0.029936247,0.024515671
70,0.103422142,0.082944496,0.063402734,0.050579819,0.039537701,0.029935503,0.024515043
71,0.103422764,0.082943997,0.063402057,0.050578992,0.039536851,0.02993476,0.024514416
72,0.103423157,0.082943417,0.063401161,0.050578041,0.039536001,0.029934016,0.024513788
73,0.103423504,0.082942836,0.063400297,0.05057709,0.039535151,0.029933273,0.024513161
74,0.103423697,0.082942127,0.063399406,0.05057614,0.039534301,0.029932529,0.024512533
75,0.10342421,0.082941416,0.063398572,0.050575265,0.039533451,0.029931786,0.024511906
76,0.103424724,0.082940875,0.063397641,0.050574314,0.039532601,0.029931043,0.024511278
77,0.103425076,0.08294023,0.063396836,0.050573364,0.039531751,0.029930299,0.024510651
78,0.103426494,0.082940092,0.063396057,0.050572413,0.039530901,0.029929556,0.024510023
79,0.103427325,0.082939779,0.06339528,0.050571623,0.039530051,0.029928813,0.024509396
80,0.103427691,0.082939409,0.063394356,0.050570672,0.039529202,0.02992807,0.024508768
81,0.103428831,0.082939205,0.06339373,0.050569891,0.039528352,0.029927326,0.024508141
82,0.103428933,0.082938453,0.063392885,0.050568941,0.039527502,0.029926583,0.024507514
83,0.103429073,0.08293785,0.063391993,0.050568067,0.039526652,0.02992584,0.024506886
84,0.103429248,0.08293745,0.063391129,0.050567192,0.039525803,0.029925097,0.024506259
85,0.103429488,0.082936924,0.063390424,0.050566464,0.039524953,0.029924354,0.024505632
86,0.103429816,0.082936196,0.063389657,0.05056559,0.039524103,0.029923611,0.024505005
87,0.103430054,0.08293582,0.063388812,0.05056464,0.039523254,0.029922868,0.024504378
88,0.103430283,0.082935241,0.063388056,0.050563689,0.039522404,0.029922125,0.02450375
89,0.103430863,0.082934793,0.063387125,0.050562739,0.039521554,0.029921382,0.024503123
90,0.103431676,0.082934365,0.063386362,0.050561789,0.039520705,0.029920639,0.024502496
91,0.103432352,0.082933866,0.063385878,0.050560915,0.039519855,0.029919896,0.024501869
92,0.103432459,0.082933057,0.063384947,0.050559964,0.039519006,0.029919154,0.024501242
93,0.103433464,0.082932869,0.063384016,0.050559014,0.039518156,0.029918411,0.024500615
94,0.103434258,0.082932495,0.063383287,0.050558219,0.039517307,0.029917668,0.024499988
95,0.103434469,0.082931862,0.063382486,0.050557269,0.039516458,0.029916926,0.024499362
96,0.103434888,0.082931181,0.063381563,0.050556395,0.039515608,0.029916183,0.024498735
97,0.103435742,0.082930784,0.063380839,0.050555445,0.039514759,0.02991544,0.024498108
98,0.103435923,0.082930242,0.063380013,0.050554495,0.03951391,0.029914698,0.024497481
99,0.103436516,0.08292994,0.063379082,0.050553545,0.03951306,0.029913955,0.024496854
100,0.103436867,0.082929485,0.06337838,0.050552595,0.039512211,0.029913213,0.024496228
101,0.103437649,0.082929038,0.063377449,0.050551644,0.039511362,0.02991247,0.024495601
102,0.103438514,0.082928647,0.063376655,0.050550777,0.039510513,0.029911728,0.024494975
