accLoss,distortion,exponent,iteration
0.103384091,0.005765345,4,1
0.082975494,0.008658906,5,1
0.063459384,0.012061542,6,1
0.050642719,0.014979809,7,1
0.03959624,0.01763105,8,1
0.029986899,0.020164301,9,1
0.024558432,0.021802154,10,1
0.082975031,0.008659844,5,2
0.063458557,0.012062782,6,2
0.050641768,0.014981256,7,2
0.039595388,0.017632638,8,2
0.029986153,0.020166011,9,2
0.024557802,0.021803918,10,2
0.082974741,0.008660782,5,3
0.063457626,0.012064022,6,3
0.050640816,0.014982703,7,3
0.039594536,0.017634226,8,3
0.029985407,0.020167722,9,3
0.024557172,0.021805681,10,3
0.063456971,0.012065261,6,4
0.050640084,0.014984151,7,4
0.039593873,0.017635815,8,4
0.029984661,0.020169433,9,4
0.024556542,0.021807445,10,4
0.082974086,0.008662659,5,5
0.063456048,0.012066501,6,5
0.050639132,0.014985598,7,5
0.039593021,0.017637404,8,5
0.029983915,0.020171143,9,5
0.024555912,0.021809209,10,5
0.08297343,0.008663597,5,6
0.063455116,0.012067741,6,6
0.05063818,0.014987045,7,6
0.039592169,0.017638992,8,6
0.029983169,0.020172854,9,6
0.024555282,0.021810973,10,6
0.08297315,0.008664536,5,7
0.063454455,0.012068982,6,7
0.050637396,0.014988493,7,7
0.039591317,0.017640581,8,7
0.029982423,0.020174565,9,7
0.024554653,0.021812737,10,7
0.082972845,0.008665474,5,8
0.063453702,0.012070222,6,8
0.050636444,0.01498994,7,8
0.039590465,0.01764217,8,8
0.029981677,0.020176276,9,8
0.024554023,0.0218145,10,8
0.082972246,0.008666413,5,9
0.063452902,0.012071462,6,9
0.050635567,0.014991388,7,9
0.039589613,0.017643759,8,9
0.029980931,0.020177987,9,9
0.024553393,0.021816264,10,9
0.08297185,0.008667351,5,10
0.063452128,0.012072702,6,10
0.050634616,0.014992835,7,10
0.039588761,0.017645347,8,10
0.029980185,0.020179698,9,10
0.024552763,0.021818028,10,10
0.082971256,0.00866829,5,11
0.063451205,0.012073942,6,11
0.050633664,0.014994283,7,11
0.03958791,0.017646936,8,11
0.029979439,0.020181408,9,11
0.024552134,0.021819792,10,11
0.082970829,0.008669228,5,12
0.063450451,0.012075182,6,12
0.050632712,0.01499573,7,12
0.039587058,0.017648525,8,12
0.029978693,0.020183119,9,12
0.024551504,0.021821556,10,12
0.082970147,0.008670167,5,13
0.063449554,0.012076422,6,13
0.05063176,0.014997178,7,13
0.039586206,0.017650114,8,13
0.029977948,0.02018483,9,13
0.024550874,0.02182332,10,13
0.082969557,0.008671106,5,14
0.063448622,0.012077663,6,14
0.050630953,0.014998625,7,14
0.039585354,0.017651703,8,14
0.029977202,0.020186541,9,14
0.024550245,0.021825084,10,14
0.082968816,0.008672045,5,15
0.063447698,0.012078903,6,15
0.050630001,0.015000073,7,15
0.039584502,0.017653292,8,15
0.029976456,0.020188253,9,15
0.024549615,0.021826848,10,15
0.082968271,0.008672984,5,16
0.063446807,0.012080144,6,16
0.050629049,0.015001521,7,16
0.03958365,0.017654881,8,16
0.02997571,0.020189964,9,16
0.024548986,0.021828612,10,16
0.082967851,0.008673922,5,17
0.06344596,0.012081384,6,17
0.050628098,0.015002969,7,17
0.039582798,0.01765647,8,17
0.029974965,0.020191675,9,17
0.024548356,0.021830376,10,17
0.082967408,0.008674861,5,18
0.063445179,0.012082625,6,18
0.050627221,0.015004417,7,18
0.039581947,0.017658059,8,18
0.029974219,0.020193386,9,18
0.024547727,0.02183214,10,18
0.082966798,0.0086758,5,19
0.063444281,0.012083865,6,19
0.05062627,0.015005864,7,19
0.039581095,0.017659648,8,19
0.029973473,0.020195097,9,19
0.024547097,0.021833904,10,19
0.082966601,0.008676739,5,20
0.063443622,0.012085106,6,20
0.050625318,0.015007312,7,20
0.039580243,0.017661237,8,20
0.029972728,0.020196808,9,20
0.024546468,0.021835668,10,20
0.082966043,0.008677678,5,21
0.063442799,0.012086347,6,21
0.050624366,0.01500876,7,21
0.039579391,0.017662827,8,21
0.029971982,0.020198519,9,21
0.024545838,0.021837432,10,21
0.082965445,0.008678618,5,22
0.063441908,0.012087587,6,22
0.050623414,0.015010208,7,22
0.03957854,0.017664416,8,22
0.029971237,0.02020023,9,22
0.024545209,0.021839196,10,22
0.082965401,0.008679557,5,23
0.063441081,0.012088828,6,23
0.050622462,0.015011656,7,23
0.039577688,0.017666005,8,23
0.029970491,0.020201942,9,23
0.02454458,0.021840961,10,23
0.082964839,0.008680496,5,24
0.06344015,0.012090069,6,24
0.050621587,0.015013105,7,24
0.039576837,0.017667595,8,24
0.029969746,0.020203653,9,24
0.02454395,0.021842725,10,24
0.08296446,0.008681436,5,25
0.063439218,0.01209131,6,25
0.05062078,0.015014553,7,25
0.039575985,0.017669184,8,25
0.029969001,0.020205365,9,25
0.024543321,0.02184449,10,25
0.082963845,0.008682375,5,26
0.063438294,0.012092551,6,26
0.050619828,0.015016001,7,26
0.039575133,0.017670773,8,26
0.029968255,0.020207076,9,26
0.024542692,0.021846254,10,26
0.082963305,0.008683314,5,27
0.06343743,0.012093792,6,27
0.050618877,0.015017449,7,27
0.039574282,0.017672363,8,27
0.02996751,0.020208787,9,27
0.024542063,0.021848018,10,27
0.082962716,0.008684254,5,28
0.063436538,0.012095033,6,28
0.050617925,0.015018897,7,28
0.039573431,0.017673952,8,28
0.029966765,0.020210499,9,28
0.024541433,0.021849782,10,28
0.082962376,0.008685193,5,29
0.063435641,0.012096274,6,29
0.050616973,0.015020345,7,29
0.039572579,0.017675541,8,29
0.02996602,0.02021221,9,29
0.024540804,0.021851546,10,29
0.082962309,0.008686133,5,30
0.063435022,0.012097514,6,30
0.050616204,0.015021793,7,30
0.039571728,0.01767713,8,30
0.029965275,0.020213921,9,30
0.024540175,0.021853311,10,30
0.082961721,0.008687072,5,31
0.063434258,0.012098755,6,31
0.050615329,0.015023241,7,31
0.039570876,0.01767872,8,31
0.029964529,0.020215633,9,31
0.024539546,0.021855075,10,31
0.082961138,0.008688012,5,32
0.063433366,0.012099996,6,32
0.050614453,0.015024689,7,32
0.039570025,0.01768031,8,32
0.029963784,0.020217344,9,32
0.024538917,0.021856839,10,32
0.082960568,0.008688951,5,33
0.063432435,0.012101237,6,33
0.050613502,0.015026138,7,33
0.039569174,0.017681899,8,33
0.029963039,0.020219056,9,33
0.024538288,0.021858604,10,33
0.082960064,0.008689891,5,34
0.063431696,0.012102479,6,34
0.05061255,0.015027586,7,34
0.039568322,0.017683489,8,34
0.029962294,0.020220767,9,34
0.024537659,0.021860368,10,34
0.082959556,0.008690831,5,35
0.063430915,0.01210372,6,35
0.050611599,0.015029034,7,35
0.039567471,0.017685078,8,35
0.029961549,0.020222479,9,35
0.02453703,0.021862133,10,35
0.082959202,0.008691771,5,36
0.063430169,0.012104961,6,36
0.050610647,0.015030483,7,36
0.03956662,0.017686668,8,36
0.029960804,0.02022419,9,36
